id,year,stats_type,SOG,PPP,SHG,HIT,STP,FOL,SHA,GWG,P_M,GP,PPG,SHP,G,ATOI,PTS,STPA,PPA,PIM,TTOI,BLK,A,STPG,FOW,_25,HAT,MIN,FP,FP_AVG
5208,2025,actual,151.0,17.0,0.0,20.0,17.0,592.0,0.0,3.0,-23.0,79.0,9.0,0.0,21.0,1139.3,53.0,8.0,8.0,24.0,90005.0,72.0,32.0,9.0,747.0,1829.0,1.0,,233.75,2.96
5208,2026,projected,171.0,29.0,,25.0,29.0,,,,8.0,77.0,8.0,,24.0,1152.0,59.0,21.0,21.0,22.0,88704.0,49.0,35.0,8.0,,,,,241.25,3.13
5208,2026,actual,154.0,20.0,2.0,17.0,23.0,602.0,1.0,8.0,8.0,81.0,5.0,3.0,25.0,1223.69,74.0,16.0,15.0,22.0,99119.0,66.0,49.0,7.0,740.0,1954.0,1.0,,285.7,3.53
5208,2027,projected,158.0,19.0,2.0,20.0,23.0,,2.0,,4.0,83.0,6.0,4.0,25.0,1261.86,71.0,15.0,13.0,24.0,104734.38,72.0,46.0,8.0,,,,,275.0,3.31
5208,2027,actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5219,2023,projected,162.0,17.0,0.0,133.0,17.0,542.0,0.0,3.0,7.0,77.0,6.0,0.0,22.0,1086.0,57.0,11.0,11.0,46.0,83622.0,28.0,35.0,6.0,473.0,141.0,,,241.3,3.13
5219,2023,actual,144.0,15.0,0.0,140.0,15.0,542.0,0.0,3.0,-27.0,82.0,6.0,0.0,21.0,1105.76,65.0,9.0,9.0,50.0,90672.0,41.0,44.0,6.0,473.0,1806.0,,,260.0,3.17
5219,2024,projected,102.0,7.0,1.0,106.0,7.0,466.0,0.0,3.0,-16.0,57.0,3.0,1.0,15.0,1068.0,40.0,4.0,4.0,36.0,60876.0,18.0,25.0,3.0,454.0,1738.0,1.0,,171.1,3.0
5219,2024,actual,170.0,12.0,1.0,151.0,13.0,466.0,0.0,3.0,-22.0,82.0,4.0,1.0,20.0,1066.85,46.0,8.0,8.0,56.0,87482.0,51.0,26.0,5.0,454.0,1738.0,1.0,,239.1,2.92
5219,2025,projected,167.0,16.0,,156.0,16.0,,,,-24.0,82.0,7.0,,22.0,1068.0,59.0,9.0,9.0,54.0,87576.0,47.0,37.0,7.0,,,,,259.35,3.16
5219,2025,actual,145.0,7.0,0.0,193.0,7.0,564.0,0.0,5.0,3.0,82.0,2.0,0.0,18.0,1053.66,50.0,5.0,5.0,61.0,86400.0,55.0,32.0,2.0,618.0,1818.0,,,241.05,2.94
5219,2026,projected,163.0,13.0,,171.0,13.0,,,,-16.0,82.0,4.0,,19.0,1068.0,55.0,9.0,9.0,58.0,87576.0,52.0,36.0,4.0,,,,,250.35,3.05
5219,2026,actual,119.0,9.0,0.0,180.0,9.0,387.0,0.0,2.0,-28.0,80.0,4.0,0.0,18.0,1006.12,39.0,5.0,5.0,68.0,80490.0,41.0,21.0,4.0,456.0,1669.0,,,206.75,2.58
